epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9907618761062622,0.999363124370575,0.0010000000474974513,0.024647818878293037,0.9890850186347961,0.9924761652946472,0.9946666955947876,0.9992629885673523,0.017079798504710197,1.0,0.9893333315849304
1,0.9974285960197449,0.9999143481254578,0.0010000000474974513,0.0076035563834011555,0.9971444606781006,0.9977142810821533,0.9959999918937683,0.9994646906852722,0.013747970573604107,0.9973261952400208,0.9946666955947876
2,0.9983809590339661,0.9999330639839172,0.0010000000474974513,0.005433124955743551,0.9981911778450012,0.9985714554786682,0.996222198009491,0.9992617964744568,0.015219436958432198,0.9991059303283691,0.9933333396911621
3,0.9983333349227905,0.9999402165412903,0.0010000000474974513,0.004591187462210655,0.9983807802200317,0.998285710811615,0.9957777857780457,0.9988455772399902,0.01712869107723236,0.9991051554679871,0.9924444556236267
4,0.9991428852081299,0.9999980330467224,0.0005000000237487257,0.0019054918084293604,0.9991428852081299,0.9991428852081299,0.996666669845581,0.9993002414703369,0.011635320261120796,0.9986613392829895,0.9946666955947876
5,0.9996190667152405,0.9999985098838806,0.0005000000237487257,0.0015150806866586208,0.9996190667152405,0.9996190667152405,0.9975555539131165,0.9995173811912537,0.010641039349138737,0.9977768063545227,0.9973333477973938
6,0.9996190667152405,0.999999463558197,0.0005000000237487257,0.001129521639086306,0.9996190667152405,0.9996190667152405,0.9973333477973938,0.9992955923080444,0.01181763969361782,0.9986631274223328,0.9959999918937683
7,0.9999523758888245,0.9999999403953552,0.0005000000237487257,0.00046925872447900474,1.0,0.9999047517776489,0.9975555539131165,0.9993048310279846,0.010136174969375134,0.9982198476791382,0.9968888759613037
8,0.9995714426040649,0.9999988079071045,0.0005000000237487257,0.001353561063297093,0.9995238780975342,0.9996190667152405,0.995555579662323,0.9990817308425903,0.02054194174706936,0.9995519518852234,0.9915555715560913
9,0.9997143149375916,0.9999997615814209,0.0005000000237487257,0.0008406502893194556,0.9996191263198853,0.9998095035552979,0.9964444637298584,0.9990867972373962,0.011881235986948013,0.9977718591690063,0.9951111078262329
10,0.9997618794441223,0.9999997019767761,0.0002500000118743628,0.000755918154027313,0.9997143149375916,0.9998095035552979,0.9968888759613037,0.9993051290512085,0.014040039852261543,0.9982174634933472,0.995555579662323
11,1.0,1.0,0.0002500000118743628,0.0001854940055636689,1.0,1.0,0.9968888759613037,0.999305009841919,0.012921759858727455,0.9982174634933472,0.995555579662323
